TG 262841,Region Mainfranken
TG 262842,Region Roth
TG 262872,Region Amberg
TG 262907,Oberlausitz
TG 263815,Funkerportal
TG 264022,White Sticker
TG 2405174,SM5GXQ Group
TG 816851,OberLausitzLink TAC1
TG 969258,Lokal DB0ZOD
TG 1305510,DB0BLO 10m
TG 2629004,Admin TG DJ1JAY
TG 0,;-)
